timestamp,x,y,z
1558442295269220,-0.262695,-0.89209,0.397949
1558442295299146,-0.261719,-0.895508,0.40625
1558442295306124,-0.259277,-0.88916,0.398926
1558442295331055,-0.260254,-0.887695,0.405762
1558442295351001,-0.260254,-0.884277,0.404785
1558442295365963,-0.255859,-0.88916,0.404785
1558442295389899,-0.256836,-0.888672,0.405273
1558442295429791,-0.26123,-0.887207,0.407715
1558442295434778,-0.258301,-0.88623,0.408203
1558442295449738,-0.259277,-0.886719,0.407227
1558442295472678,-0.260742,-0.888672,0.405762
1558442295488633,-0.256348,-0.887695,0.414551
1558442295517556,-0.258789,-0.888184,0.410156
1558442295553461,-0.266113,-0.88916,0.410645
1558442295563435,-0.265137,-0.892578,0.405273
1558442295570415,-0.268066,-0.887695,0.40332
1558442295591359,-0.269043,-0.891113,0.398438
1558442295607316,-0.26416,-0.88623,0.401367
1558442295628261,-0.268555,-0.885742,0.396973
1558442295652197,-0.26709,-0.887695,0.404785
1558442295667157,-0.264648,-0.884766,0.406738
1558442295690096,-0.270996,-0.88623,0.40625
1558442295712036,-0.274414,-0.883789,0.403809
1558442295727993,-0.274414,-0.889648,0.404297
1558442295749935,-0.27832,-0.884277,0.405273
1558442295771876,-0.277832,-0.88916,0.403809
1558442295787841,-0.28418,-0.885254,0.393066
1558442295809775,-0.28125,-0.887207,0.400879
1558442295831716,-0.279785,-0.886719,0.398926
1558442295847674,-0.277344,-0.886719,0.399902
1558442295869616,-0.273926,-0.891602,0.406738
1558442295891556,-0.270508,-0.894531,0.405273
1558442295907513,-0.266113,-0.893066,0.410156
1558442295930452,-0.26709,-0.889648,0.411621
1558442295951396,-0.260742,-0.890625,0.408203
1558442295967353,-0.26709,-0.890625,0.40625
1558442295990292,-0.257813,-0.893555,0.409668
1558442296011243,-0.259766,-0.894043,0.405762
1558442296027194,-0.259766,-0.88916,0.405273
1558442296050132,-0.265137,-0.887695,0.403809
1558442296071077,-0.263672,-0.891113,0.398926
1558442296088030,-0.260254,-0.887207,0.399902
1558442296109971,-0.259277,-0.886719,0.398926
1558442296130915,-0.260254,-0.883301,0.400879
1558442296147871,-0.261719,-0.885742,0.408203
1558442296169811,-0.259277,-0.890137,0.407227
1558442296190756,-0.260742,-0.892578,0.412109
1558442296207710,-0.260742,-0.894531,0.413086
1558442296229654,-0.260742,-0.890137,0.410156
1558442296251594,-0.259766,-0.888672,0.407715
1558442296274532,-0.262207,-0.89209,0.407227
1558442296290488,-0.262207,-0.890625,0.401855
1558442296311431,-0.263672,-0.88623,0.401855
1558442296327390,-0.263184,-0.888184,0.406738
1558442296350334,-0.269043,-0.88623,0.402344
1558442296371277,-0.265137,-0.894043,0.404297
1558442296387232,-0.26709,-0.888184,0.40625
1558442296410172,-0.264648,-0.890625,0.40918
1558442296431117,-0.259277,-0.89502,0.409668
1558442296454055,-0.259766,-0.890625,0.408203
1558442296470013,-0.26709,-0.89209,0.408203
1558442296490958,-0.268555,-0.890137,0.405762
1558442296514890,-0.269531,-0.890625,0.401855
1558442296536937,-0.26709,-0.88916,0.403809
1558442296552790,-0.268555,-0.88623,0.396484
1558442296575728,-0.265137,-0.886719,0.396973
1558442296589695,-0.268555,-0.887207,0.402832
1558442296612627,-0.271484,-0.886719,0.402832
1558442296635748,-0.266113,-0.888672,0.402344
1558442296658505,-0.267578,-0.891113,0.404297
1558442296672730,-0.261719,-0.893066,0.410156
1558442296695668,-0.257324,-0.893066,0.406738
1558442296716617,-0.258789,-0.896973,0.410645
1558442296740552,-0.254883,-0.893555,0.407715
1558442296755510,-0.255859,-0.89209,0.411621
1558442296778453,-0.254883,-0.889648,0.408691
1558442296792412,-0.255371,-0.895508,0.405762
1558442296816350,-0.252441,-0.890137,0.412109
1558442296837289,-0.253906,-0.889648,0.401367
1558442296852414,-0.25,-0.888184,0.398438
1558442296875186,-0.251465,-0.886719,0.403809
1558442296897310,-0.24707,-0.884766,0.404785
1558442296913214,-0.251953,-0.888672,0.407715
1558442296935145,-0.248535,-0.888184,0.408691
1558442296957015,-0.24707,-0.890625,0.413574
1558442296972931,-0.249512,-0.88623,0.418457
1558442296995163,-0.257324,-0.884277,0.416992
1558442297016810,-0.262207,-0.888672,0.41748
1558442297032769,-0.256836,-0.888184,0.407715
1558442297054714,-0.263184,-0.884766,0.402832
1558442297078644,-0.264648,-0.883301,0.402832
1558442297092607,-0.263184,-0.882813,0.404297
1558442297115547,-0.261719,-0.881348,0.40332
1558442297138485,-0.262207,-0.883301,0.40625
1558442297152607,-0.261719,-0.884766,0.412109
1558442297175387,-0.262207,-0.88916,0.415527
1558442297198327,-0.257813,-0.884277,0.414551
1558442297212590,-0.263184,-0.894531,0.407227
1558442297235227,-0.26416,-0.895508,0.414063
1558442297258166,-0.264648,-0.893555,0.405273
1558442297272378,-0.264648,-0.887695,0.404785
1558442297295066,-0.267578,-0.887695,0.40332
1558442297318123,-0.266602,-0.889648,0.399902
1558442297332965,-0.266113,-0.892578,0.398926
1558442297354907,-0.263184,-0.890137,0.399414
1558442297377841,-0.26416,-0.888672,0.399902
1558442297392801,-0.265625,-0.89209,0.40332
1558442297415083,-0.258789,-0.894043,0.407227
1558442297438681,-0.256348,-0.891602,0.413086
1558442297460620,-0.26123,-0.891602,0.415527
1558442297474584,-0.259277,-0.894531,0.414551
1558442297498518,-0.257324,-0.893066,0.413086
1558442297512563,-0.253906,-0.893555,0.408203
1558442297535421,-0.254883,-0.88916,0.404785
1558442297558362,-0.249023,-0.891602,0.40625
1558442297579564,-0.25293,-0.888672,0.406738
1558442297595265,-0.253418,-0.88916,0.40332
1558442297618200,-0.254883,-0.889648,0.401855
1558442297639145,-0.255371,-0.890137,0.407227
1558442297655103,-0.253906,-0.887695,0.415039
1558442297678385,-0.253418,-0.890137,0.408691
1558442297698983,-0.255859,-0.887695,0.411133
1558442297714952,-0.261719,-0.891602,0.411621
1558442297738926,-0.259766,-0.891113,0.407227
1558442297759821,-0.259766,-0.89209,0.407227
1558442297775002,-0.262695,-0.890137,0.405273
1558442297797726,-0.26123,-0.889648,0.404785
1558442297819874,-0.261719,-0.888672,0.407227
1558442297834859,-0.259766,-0.88916,0.407227
1558442297857600,-0.26123,-0.893555,0.410156
1558442297879790,-0.258789,-0.88623,0.405762
1558442297895716,-0.269043,-0.895996,0.411621
1558442297917546,-0.262695,-0.893066,0.40625
1558442297939638,-0.265625,-0.89209,0.410156
1558442297955301,-0.26709,-0.888672,0.406738
1558442297977530,-0.264648,-0.884766,0.401367
1558442298001177,-0.266113,-0.891113,0.395508
1558442298015138,-0.266602,-0.89502,0.401855
1558442298038078,-0.266602,-0.884277,0.40918
1558442298061018,-0.268066,-0.881348,0.40332
1558442298074977,-0.267578,-0.884766,0.402832
1558442298097918,-0.27002,-0.889648,0.402344
1558442298120895,-0.270996,-0.88916,0.40332
1558442298135815,-0.270508,-0.887695,0.405273
1558442298157757,-0.273926,-0.890625,0.40918
1558442298180772,-0.268066,-0.892578,0.410156
1558442298194937,-0.263184,-0.896484,0.401367
1558442298217597,-0.264648,-0.899902,0.408691
1558442298240571,-0.260254,-0.894531,0.411133
1558442298255497,-0.259766,-0.891113,0.411621
1558442298277569,-0.258789,-0.895508,0.404785
1558442298300375,-0.256836,-0.894531,0.402832
1558442298314677,-0.258301,-0.891113,0.401367
1558442298329544,-0.26123,-0.886719,0.399414
1558442298351570,-0.255859,-0.884277,0.408203
1558442298374498,-0.257813,-0.886719,0.40332
1558442298397425,-0.26123,-0.884766,0.404785
1558442298411079,-0.266602,-0.88623,0.404785
1558442298434075,-0.270508,-0.888672,0.412109
1558442298456954,-0.272461,-0.887207,0.40918
1558442298472914,-0.277832,-0.88916,0.413086
1558442298495359,-0.271973,-0.890137,0.401367
1558442298517131,-0.270508,-0.885254,0.401367
1558442298531124,-0.266602,-0.883789,0.399414
1558442298554886,-0.257813,-0.884277,0.40332
1558442298576944,-0.257324,-0.882813,0.396973
1558442298591900,-0.258301,-0.882324,0.404297
1558442298614581,-0.26123,-0.886719,0.404785
1558442298637607,-0.264648,-0.88916,0.40918
1558442298651715,-0.265625,-0.889648,0.406738
1558442298673382,-0.264648,-0.886719,0.410645
