id_sample,name_lsm,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,axis,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,segment12,segment13,segment14,segment15,segment16,segment17,segment18,segment19,segment20,segment21,segment22,segment23,segment24,segment25,segment26,segment27,segment28,segment29,segment30,segment31,segment32
1,cocacola,1.36357721220373,1.81923961334153,5.08332631165355,9.7108129703447,3.74385116871726,2.74371522046262,2.01185469405079,1.50924038048531,y,-0.5239795,-0.52797858,-0.52573727,-0.52658201,-0.52479482,-0.52474602,-0.52324213,-0.51834471,-0.52157712,-0.52701181,-0.52356941,-0.52205084,-0.52056162,-0.52272957,-0.52030782,-0.52019529,-0.52126955,-0.52382817,-0.52396497,-0.52611348,-0.52791986,-0.53181648,-0.53154787,-0.5289258,-0.52998523,-0.53102036,-0.54445313,-0.43103996,-0.29688958,-0.55002926,-0.63842779,-0.19612794
1,cocacola,1.36357721220373,1.81923961334153,5.08332631165355,9.7108129703447,3.74385116871726,2.74371522046262,2.01185469405079,1.50924038048531,x,-0.033740227,-0.037543953,-0.043642583,-0.047553709,-0.045917963,-0.040219731,-0.039204104,-0.035175783,-0.037182618,-0.040708016,-0.047573248,-0.050854492,-0.050380864,-0.047631829,-0.048432616,-0.052856455,-0.056591794,-0.057304695,-0.056196283,-0.052954109,-0.044121092,-0.044204094,-0.044023439,-0.039350585,-0.038120136,-0.036767583,-0.043417976,-0.027675773,-0.166557498,-0.164233333,-0.0173779645,0.01096193
1,cocacola,1.36357721220373,1.81923961334153,5.08332631165355,9.7108129703447,3.74385116871726,2.74371522046262,2.01185469405079,1.50924038048531,z,0.85805672,0.85668455,0.85266607,0.85599616,0.85248532,0.85577638,0.85816897,0.85220233,0.85362788,0.85548333,0.85579105,0.8546534,0.85462882,0.85686527,0.85778317,0.85455081,0.85529786,0.85477537,0.85399904,0.85542968,0.85144043,0.85094244,0.85121585,0.84923335,0.85001463,0.85168938,0.95109882,0.99161156,0.60546853,0.8601223,1.27702591,0.53274877
2,z,2.63239374536254,4.69284225790059,6.96782468538695,5.51122761064304,3.93028982305784,2.93056243321876,2.15405118065128,1.69641755982452,y,-0.64717765,-0.6436425,-0.6410986,-0.64087398,-0.64078611,-0.64145505,-0.63873524,-0.63453115,-0.63515139,-0.63314936,-0.63494636,-0.63251457,-0.63177729,-0.63741212,-0.63525882,-0.6371241,-0.63534671,-0.6339404,-0.63402844,-0.63463389,-0.63587888,-0.63745096,-0.6387353,-0.63771004,-0.63447752,-0.63377928,-0.62020496,-0.6663183,-0.78304193,-0.78036139,-0.76344242,-0.50943851
2,z,2.63239374536254,4.69284225790059,6.96782468538695,5.51122761064304,3.93028982305784,2.93056243321876,2.15405118065128,1.69641755982452,x,-0.31718262,-0.32328622,-0.32352542,-0.32505372,-0.32707024,-0.32686028,-0.32955067,-0.32321778,-0.32117683,-0.32040534,-0.32619131,-0.32543443,-0.3273632,-0.32599608,-0.32464357,-0.32502937,-0.32628426,-0.32913096,-0.32733408,-0.32500002,-0.32397456,-0.32281749,-0.32051286,-0.32104983,-0.32293465,-0.3248926,-0.266767656,-0.214580084,-0.377592764,-0.013676729,0.343798863,0.24059089
2,z,2.63239374536254,4.69284225790059,6.96782468538695,5.51122761064304,3.93028982305784,2.93056243321876,2.15405118065128,1.69641755982452,z,0.70582516,0.70382317,0.70206549,0.70457036,0.70233404,0.70590829,0.70478025,0.70715821,0.70909176,0.71016608,0.71073737,0.71038091,0.70907716,0.70982418,0.70693353,0.70707028,0.70812508,0.70916017,0.70746579,0.70767596,0.70754885,0.70722175,0.70879895,0.71013674,0.70812504,0.71044432,0.73479014,0.67309568,0.4837207,0.62399901,0.68418463,0.43195801
3,b,2.24600014127297,4.18262413689834,5.18369018304885,14.9981456945357,8.06093742990091,5.69997414927101,4.76126278322228,3.57888226750564,y,-0.83391843,-0.838696375,-0.80856206,-0.82719238,-0.82826905,-0.82380123,-0.829121035,-0.834196815,-0.84360605,-0.842873595,-0.83781502,-0.83180655,-0.83642087,-0.839418955,-0.841015715,-0.840485915,-0.842734325,-0.84291997,-0.84597899,-0.845461415,-0.844858325,-0.844169845,-0.842451185,-0.84239742,-0.84314208,-0.840605475,-0.843073675,-0.8474707,-0.84345466,-0.84317874,-0.844760765,-0.50688965
3,b,2.24600014127297,4.18262413689834,5.18369018304885,14.9981456945357,8.06093742990091,5.69997414927101,4.76126278322228,3.57888226750564,x,-0.25264406,-0.261716335,-0.256062045,-0.24031743,-0.228549785,-0.22197758,-0.21808106,-0.20957767,-0.210549415,-0.21074948,-0.203564395,-0.20540039,-0.20567143,-0.21637933,-0.213850125,-0.2157398,-0.21408702,-0.219370125,-0.211782265,-0.216154825,-0.213518115,-0.214565525,-0.217512195,-0.21482671,-0.211594265,-0.213723015,-0.211513655,-0.213066435,-0.21000727,-0.20391111,-0.199467745,-0.121696715
3,b,2.24600014127297,4.18262413689834,5.18369018304885,14.9981456945357,8.06093742990091,5.69997414927101,4.76126278322228,3.57888226750564,z,0.521828475,0.531677155,0.528601145,0.54025146,0.544111395,0.529682615,0.537570825,0.525173325,0.53513188,0.524599575,0.529255435,0.53014409,0.532236405,0.52491459,0.525197775,0.52030026,0.518085975,0.51514157,0.51703127,0.515922875,0.515097585,0.516413455,0.51763433,0.51621338,0.51959962,0.51682375,0.51703613,0.519140685,0.51792732,0.51738287,0.520876475,0.312316935
4,c,1.50239956912551,1.58063898384283,3.01539485158641,9.8596573661199,5.53075994291893,4.20458462322757,2.52714598132324,2.74558891219664,y,-0.82519526,-0.8513672,-0.83942876,-0.83703611,-0.83543948,-0.8423047,-0.83551275,-0.84421871,-0.84919927,-0.84802247,-0.83160159,-0.83029296,-0.82597661,-0.82489743,-0.81812012,-0.82279781,-0.81863775,-0.82684081,-0.82680656,-0.81986329,-0.82851546,-0.82454105,-0.82210448,-0.82658701,-0.82527355,-0.81936531,-0.81966793,-0.82442863,-0.8257423,-0.82040538,-0.81933601,-0.49388671
4,c,1.50239956912551,1.58063898384283,3.01539485158641,9.8596573661199,5.53075994291893,4.20458462322757,2.52714598132324,2.74558891219664,x,-0.291626,-0.29804193,-0.29256339,-0.29498534,-0.2944141,-0.29752455,-0.29007819,-0.29210451,-0.29514155,-0.29761242,-0.29440429,-0.30295417,-0.30986811,-0.30684073,-0.30902337,-0.30395034,-0.30857909,-0.31191905,-0.3108008,-0.3089892,-0.30377936,-0.30004396,-0.30469233,-0.3099902,-0.30925292,-0.3060499,-0.30872557,-0.30874996,-0.30678702,-0.30553714,-0.30264158,-0.18224124
4,c,1.50239956912551,1.58063898384283,3.01539485158641,9.8596573661199,5.53075994291893,4.20458462322757,2.52714598132324,2.74558891219664,z,0.47600592,0.49467765,0.4723536,0.48795413,0.48559088,0.48774896,0.48416507,0.48113287,0.47369144,0.48668947,0.48120617,0.49137696,0.49409185,0.50311534,0.50086915,0.50502926,0.50373531,0.50222648,0.50124999,0.49881827,0.50339837,0.5018604,0.50116213,0.50073741,0.50227049,0.50334468,0.50510242,0.50572753,0.50327154,0.50370617,0.50557139,0.30544926
5,viernes,2.35240057924903,4.75544539641344,11.9607270591204,11.6454833711709,5.40488807969812,4.08649081646862,3.53020751883862,4.04571546694363,y,-0.81112058,-0.80868652,-0.80166017,-0.796755385,-0.793620715,-0.79418701,-0.795419905,-0.79582274,-0.79598391,-0.797797875,-0.794785125,-0.79357913,-0.794875585,-0.795471255,-0.79318597,-0.792634275,-0.797446295,-0.792888165,-0.79640384,-0.796879905,-0.79716307,-0.79694577,-0.79199703,-0.789453165,-0.788710915,-0.792216795,-0.78990726,-0.70932132,-0.645026855,-0.65294427,-0.78182119,-0.543535125
5,viernes,2.35240057924903,4.75544539641344,11.9607270591204,11.6454833711709,5.40488807969812,4.08649081646862,3.53020751883862,4.04571546694363,x,-0.1472631625,-0.1425415065,-0.1441430515,-0.142954148,-0.140053704,-0.141833531,-0.1449780065,-0.14775883,-0.146997128,-0.149587412,-0.151357448,-0.154355537,-0.1532372845,-0.152385258,-0.1525414865,-0.151171896,-0.152678214,-0.1562939415,-0.1572484925,-0.156950664,-0.1614843175,-0.165039038,-0.161833507,-0.159443376,-0.157441454,-0.1593627705,-0.194582541,-0.1507983953,0.3124877998,0.68250497,0.5723803695,0.1516357475
5,viernes,2.35240057924903,4.75544539641344,11.9607270591204,11.6454833711709,5.40488807969812,4.08649081646862,3.53020751883862,4.04571546694363,z,0.595087855,0.592751535,0.59436525,0.601459935,0.6014917,0.60122311,0.60259275,0.599924365,0.59931405,0.59979498,0.600200255,0.59884042,0.60071291,0.600407685,0.598996535,0.59935306,0.60083747,0.59589108,0.59807371,0.595075705,0.596350145,0.599050315,0.59975099,0.60091796,0.599689965,0.605100085,0.605871625,0.566450235,0.579836435,0.599687485,0.70938225,0.45219477
