id_gesto,name,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,j,2.161494648148825,3.0039979776956853,7.919738069151478,8.35297099605619,8.32750295134977,5.898840488232627,4.642363174247521,2.8252235323145696
1,x,4.7488073170309475,6.84314396678312,6.340171927713839,3.8919589147901137,5.243671149775076,4.26142680868015,3.305096427628116,2.870611145313757
2,encima,1.9032200974322238,2.7071523309933414,4.739417856301243,7.625355360249353,6.003915614293888,4.9072797675300395,3.9082833517813533,2.5168786065351094
3,debajo,1.7833193302207657,2.2886170744585193,4.76044850499318,8.33684040451595,6.355951707936859,4.848362853995773,3.480243645559952,2.2765961479986787
4,gigante,3.3152808186749194,3.8578697479380586,2.97579019853796,2.5465966757634737,4.084006000684939,3.999091692250687,3.521939079831157,2.6342595892319345
5,bajo,2.155321957647191,3.411242845764614,8.355432115159058,8.750919951063503,5.355353863182723,4.9063264642695055,4.6445580029937865,2.7698865221747524
6,alto,4.7986895696559575,10.141546935623698,14.782001406117262,10.282182997356434,6.356198429324725,5.475690719579015,5.468060507929722,3.0948589774288355
7,a,3.18535211175163,5.374386102562136,8.773601805961384,7.735700172323214,4.175530737527598,3.7889182013659783,3.683071779697935,2.25969624154061
8,z,2.546928992953623,3.9261488372622577,6.528330726983898,4.516150044834608,4.660526805054912,4.525864983216961,3.239244136286779,2.194112670656606
9,viernes,3.002896559367727,4.276970645785323,9.000712883211182,11.085102640438746,6.180418680721094,5.361851854208716,5.99922283752011,3.835272134092294
10,cocacola,1.9029990554865048,2.3239684593304264,4.950916737392641,8.964749293921182,6.140910157595232,5.079475782011425,3.3317711998074278,2.4387011604202584
