id_ideogram,name_lsm,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,axis,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23,seg24,seg25,seg26,seg27,seg28,seg29,seg30,seg31,seg32
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,x,-0.067785702125,-0.14510989875,-0.18001592775,-0.194122957025,-0.19208559035,-0.192928466875,-0.19493040625,-0.194027124,-0.193678053375,-0.19727908775,-0.196228039375,-0.190998549875,-0.1875244505,-0.184252922375,-0.18275209925,-0.1805744045,-0.1836193965,-0.183916638375,-0.183052349375,-0.17566412575,-0.17137882125,-0.16890931825,-0.1695873925,-0.16844726825,-0.167057492375,-0.165145863625,-0.17936584465,-0.274128419165,-0.3573449629225,-0.430831312625,-0.530526135,-0.356265275
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,y,-0.77027528625,-0.76567995375,-0.74564095,-0.75339907,-0.76046634625,-0.76388980375,-0.7724841325,-0.77905153875,-0.7749634425,-0.7855407575,-0.79200197,-0.79356507,-0.7957361225,-0.7972608175,-0.794636835,-0.79186340875,-0.7951721575,-0.79706543125,-0.79918577625,-0.80237851125,-0.80868594375,-0.8091137775,-0.8099505875,-0.80510744375,-0.806827415,-0.80881898875,-0.81935236875,-0.849742305,-0.72499573625,-0.547121555,-0.42937746,-0.2237853825
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,z,0.59464355625,0.595874645,0.598936815,0.6170917075,0.61153811,0.60439821875,0.597423085,0.59349857125,0.5882068125,0.5873132875,0.58070313625,0.5755646125,0.57530462125,0.57731873875,0.57627504125,0.57396543125,0.5769287325,0.57176027375,0.56985720125,0.56663577,0.5682025675,0.56470955625,0.56623721125,0.563759795,0.5660168425,0.56768799125,0.5791174875,0.65845585625,0.67211306625,0.64999881125,0.65350894875,0.3896978925
,b,2.02179249387014,3.45351936504481,4.73589344598983,13.8780602372717,7.18685582258814,4.92346062240303,3.95099590762726,3.30408816772743,x,-0.267455465,-0.2676782475,-0.26963869375,-0.267160055,-0.2661999725,-0.26790775875,-0.266639405,-0.2644891625,-0.2657550775,-0.26548032125,-0.2623584225,-0.26074895375,-0.260626265,-0.262910765,-0.26342655125,-0.26137697375,-0.260054375,-0.25950990375,-0.25714357375,-0.2570513775,-0.25414676375,-0.25741944625,-0.25865172125,-0.25569641125,-0.2579785075,-0.257965695,-0.2588726925,-0.25806945375,-0.256044285,-0.25424132,-0.25412720375,-0.15725525375
,b,2.02179249387014,3.45351936504481,4.73589344598983,13.8780602372717,7.18685582258814,4.92346062240303,3.95099590762726,3.30408816772743,y,-0.836389145,-0.8360772925,-0.82697876625,-0.8319317475,-0.83216738875,-0.828720125,-0.828837275,-0.82942994375,-0.83381351875,-0.83513917125,-0.83345152875,-0.83209894625,-0.83096497625,-0.83242004375,-0.83408879125,-0.8350128775,-0.8370965475,-0.8371527075,-0.83957458375,-0.836671135,-0.83832825125,-0.83798034,-0.833740275,-0.834260235,-0.83417176,-0.8331054675,-0.83597293125,-0.83949704625,-0.83761657875,-0.83836426625,-0.837535425,-0.523937415
,b,2.02179249387014,3.45351936504481,4.73589344598983,13.8780602372717,7.18685582258814,4.92346062240303,3.95099590762726,3.30408816772743,z,0.499847385,0.50280214125,0.50506842875,0.50751894375,0.51021977625,0.50672856875,0.5088110575,0.5056049025,0.50761352,0.50598693875,0.50653931375,0.5055255475,0.5064465775,0.50559448,0.50520083,0.50314208875,0.50210755125,0.501102895,0.50550596875,0.5005456,0.5037225575,0.5048687675,0.5042755625,0.50642823375,0.5057190025,0.50394413375,0.5025128275,0.50266054125,0.50027958875,0.5018329375,0.5020648025,0.31313414375
,d,1.60956538200519,1.88601578183958,3.02318708256318,5.9921792267918,6.28080349860635,4.59537008249175,2.46160218985117,3.83359606512605,x,-0.336074224,-0.337987292,-0.344025428,-0.34671486,-0.348249048,-0.349059568,-0.342255864,-0.345671876,-0.341912084,-0.343178692,-0.343961966,-0.34550008,-0.34555377,-0.345914096,-0.3448145,-0.343700238,-0.346682674,-0.345447314,-0.346968702,-0.344741188,-0.349353534,-0.354936468,-0.355094728,-0.356749998,-0.354271492,-0.352875004,-0.350300842,-0.339767598,-0.335394618,-0.333624024,-0.334786136,-0.214280316
,d,1.60956538200519,1.88601578183958,3.02318708256318,5.9921792267918,6.28080349860635,4.59537008249175,2.46160218985117,3.83359606512605,y,-0.898534196,-0.897661186,-0.90189456,-0.900391634,-0.897513668,-0.898334996,-0.901880922,-0.903427758,-0.902792978,-0.902621094,-0.9012402,-0.900283148,-0.900408176,-0.900852482,-0.902021518,-0.903631898,-0.902368204,-0.902720676,-0.902744114,-0.898773424,-0.898415078,-0.896993162,-0.898697292,-0.896653352,-0.89914654,-0.901185626,-0.906207098,-0.901734448,-0.903180656,-0.905606422,-0.906537114,-0.579720708
,d,1.60956538200519,1.88601578183958,3.02318708256318,5.9921792267918,6.28080349860635,4.59537008249175,2.46160218985117,3.83359606512605,z,0.3122295,0.310854578,0.310152394,0.309130854,0.306498958,0.306675762,0.305541978,0.305508782,0.302367186,0.304154314,0.301591796,0.303629848,0.30322561,0.301468822,0.300232476,0.30134962,0.299942416,0.30256157,0.302800778,0.304084928,0.301487342,0.298366268,0.296287134,0.2927149,0.294782276,0.293023428,0.296770516,0.295899416,0.29774808,0.299364328,0.299252998,0.189526396
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,x,-0.067785702125,-0.14510989875,-0.18001592775,-0.194122957025,-0.19208559035,-0.192928466875,-0.19493040625,-0.194027124,-0.193678053375,-0.19727908775,-0.196228039375,-0.190998549875,-0.1875244505,-0.184252922375,-0.18275209925,-0.1805744045,-0.1836193965,-0.183916638375,-0.183052349375,-0.17566412575,-0.17137882125,-0.16890931825,-0.1695873925,-0.16844726825,-0.167057492375,-0.165145863625,-0.17936584465,-0.274128419165,-0.3573449629225,-0.430831312625,-0.530526135,-0.356265275
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,y,-0.77027528625,-0.76567995375,-0.74564095,-0.75339907,-0.76046634625,-0.76388980375,-0.7724841325,-0.77905153875,-0.7749634425,-0.7855407575,-0.79200197,-0.79356507,-0.7957361225,-0.7972608175,-0.794636835,-0.79186340875,-0.7951721575,-0.79706543125,-0.79918577625,-0.80237851125,-0.80868594375,-0.8091137775,-0.8099505875,-0.80510744375,-0.806827415,-0.80881898875,-0.81935236875,-0.849742305,-0.72499573625,-0.547121555,-0.42937746,-0.2237853825
,gigante,2.35433722133323,2.85662261931176,2.25563971072558,2.03044006916346,2.33373466352322,2.83597498206146,3.54660382416419,2.78288580953144,z,0.59464355625,0.595874645,0.598936815,0.6170917075,0.61153811,0.60439821875,0.597423085,0.59349857125,0.5882068125,0.5873132875,0.58070313625,0.5755646125,0.57530462125,0.57731873875,0.57627504125,0.57396543125,0.5769287325,0.57176027375,0.56985720125,0.56663577,0.5682025675,0.56470955625,0.56623721125,0.563759795,0.5660168425,0.56768799125,0.5791174875,0.65845585625,0.67211306625,0.64999881125,0.65350894875,0.3896978925
,m,3.23695113555425,2.61964982392116,3.05134281433069,3.58406473915719,3.18898239887801,3.06342093624051,3.13224494527973,4.64467254863722,x,-0.255227409085714,-0.265323746628571,-0.267302656857143,-0.274079981395714,-0.271047026875714,-0.282457451857143,-0.313207323428571,-0.324329738571429,-0.323422187142857,-0.289904432428571,-0.282189582714286,-0.306291956285714,-0.29929551,-0.306479475714286,-0.311080544285714,-0.308941105714286,-0.305950802857143,-0.3037103,-0.280708714285714,-0.284091058571429,-0.295841934285714,-0.304118985714286,-0.309325535714286,-0.308287611428571,-0.309146967142857,-0.314833321428571,-0.318127127142857,-0.317864821428571,-0.31819479,-0.31742956,-0.318044097142857,-0.19894466
,m,3.23695113555425,2.61964982392116,3.05134281433069,3.58406473915719,3.18898239887801,3.06342093624051,3.13224494527973,4.64467254863722,y,-0.737832678571429,-0.738491941428571,-0.73939105,-0.739575885714286,-0.749607338571429,-0.758492591428572,-0.761019117142857,-0.747746937142857,-0.735357862857143,-0.793977452857143,-0.832391924285714,-0.807050884285714,-0.764910075714286,-0.756729918571429,-0.774128117142857,-0.777056398571428,-0.778989225714286,-0.789123938571429,-0.803447282857143,-0.80467005,-0.798634938571429,-0.792626984285714,-0.784599594285714,-0.781937742857143,-0.777934538571429,-0.778457068571429,-0.775880262857143,-0.779840934285714,-0.785081605714286,-0.776577908571428,-0.784222255714286,-0.493551911428571
,m,3.23695113555425,2.61964982392116,3.05134281433069,3.58406473915719,3.18898239887801,3.06342093624051,3.13224494527973,4.64467254863722,z,0.58192381,0.587400304285714,0.589173481428571,0.584399462857143,0.5733991,0.57986398,0.573743748571429,0.584785872857143,0.573489154285714,0.57416295,0.554063855714286,0.541794075714286,0.530399014285714,0.544615658571429,0.559789347142857,0.557540454285714,0.551080472857143,0.54141256,0.54703614,0.540901944285714,0.541287044285714,0.542093352857143,0.546107707142857,0.553500972857143,0.553701911428571,0.55401652,0.551134314285714,0.547313147142857,0.549622035714286,0.544697278571429,0.546188635714286,0.343897208571429
,n,3.37230157971043,5.91883416540061,4.33004150077843,2.55176185284557,2.95865763471092,3.09950624195439,2.83968575333583,4.8862630995606,x,-0.168111454444444,-0.165691714444444,-0.167408336666667,-0.170255598888889,-0.162353507777778,-0.161355853333333,-0.161820251111111,-0.168325796666667,-0.198383811111111,-0.250033135333333,-0.279118419544444,-0.294375545233333,-0.300055892,-0.303895960222222,-0.313445102222222,-0.314966363333333,-0.318702257777778,-0.324339761111111,-0.330590851111111,-0.33511832,-0.339518208888889,-0.333570954444445,-0.324450434444444,-0.325703696666667,-0.324346271111111,-0.32694775,-0.329510703333333,-0.3280398,-0.328486358888889,-0.32722226,-0.323609513333333,-0.198139658888889
,n,3.37230157971043,5.91883416540061,4.33004150077843,2.55176185284557,2.95865763471092,3.09950624195439,2.83968575333583,4.8862630995606,y,-0.786307535444444,-0.782181562111111,-0.782641632777778,-0.793696871333333,-0.792379042555556,-0.778951844444445,-0.792024779666667,-0.811660675555555,-0.852620985555556,-0.874067382222222,-0.868642622222222,-0.863761916666667,-0.854576264444444,-0.838864507777778,-0.842043185555556,-0.846265168888889,-0.850023857777778,-0.863116874444444,-0.866244584444444,-0.862306846666667,-0.860619037777778,-0.858282868888889,-0.862623672222222,-0.862299307777778,-0.861800157777778,-0.861567958888889,-0.859805233333333,-0.860058044444445,-0.861130643333333,-0.861304804444444,-0.863255263333333,-0.527449578888889
,n,3.37230157971043,5.91883416540061,4.33004150077843,2.55176185284557,2.95865763471092,3.09950624195439,2.83968575333583,4.8862630995606,z,0.387373066666667,0.386902127777778,0.387470662222222,0.388852544444444,0.386557661777778,0.373201506555556,0.378675159444444,0.382331811111111,0.392983912222222,0.399301774444444,0.408198257777778,0.426828346666667,0.433072964444444,0.439242667777778,0.444809607777778,0.433161388888889,0.430099851111111,0.423654478888889,0.415312016666667,0.412393122222222,0.414112947777778,0.409650116666667,0.415621237777778,0.412878161111111,0.415874031111111,0.415243584444444,0.414872518888889,0.415922343333333,0.41500977,0.413700102222222,0.414386978888889,0.252182066666667
